City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,san patricio,28.017,-97.5169,18.92,64,67,4.72,US,1707176097
83,georgetown,5.4112,100.3354,26.96,86,20,1.54,MY,1707176097
84,walvis bay,-22.9575,14.5053,19.53,88,40,2.57,NA,1707176097
85,tangalle,6.024,80.7911,23.28,87,94,4.77,LK,1707176097
86,fale old settlement,-9.3852,-171.2468,28.85,79,92,11.97,TK,1707176097
87,al kharj,24.155,47.3346,14.32,45,98,1.19,SA,1707176097
88,uturoa,-16.7333,-151.4333,27.08,91,100,6.98,PF,1707176097
89,holualoa,19.6228,-155.9522,23.91,78,40,5.14,US,1707175937
90,punta arenas,-53.15,-70.9167,13.06,50,20,6.69,CL,1707176029
91,lorengau,-2.0226,147.2712,29.55,73,91,4.69,PG,1707176098
92,udachny,66.4167,112.4,-23.64,76,100,1.83,RU,1707176098
93,saipan,15.1355,145.701,27.39,61,40,6.69,MP,1707176098
94,mahdia,35.5047,11.0622,11.97,50,0,2.53,TN,1707176098
95,bantogon,6.5333,124.0333,26.25,80,92,0.55,PH,1707176098
96,hithadhoo,-0.6,73.0833,28.35,75,100,3.35,MV,1707176098
97,selfoss,63.9331,-20.9971,-13.26,85,3,4.11,IS,1707176099
98,tazacorte,28.629,-17.9293,20.64,24,0,4.12,ES,1707176099
99,afaahiti,-17.75,-149.2833,24.93,89,100,9.72,PF,1707176099
100,mangai,-4.05,19.5333,20.77,97,88,0.45,CD,1707176099
101,kapa'a,22.0752,-159.319,25.99,64,75,8.75,US,1707176099
102,auxonne,47.1926,5.3873,5.2,100,49,1.34,FR,1707176099
103,coyhaique,-45.5752,-72.0662,17.97,42,20,1.54,CL,1707176099
104,hualien city,23.9769,121.6044,18.4,90,90,2.99,TW,1707176099
105,rio grande,-32.035,-52.0986,25.06,81,79,6.22,BR,1707176041
106,dek'emhare,15.07,39.0475,12.12,89,31,2.4,ER,1707176100
107,barcelos,41.5388,-8.6151,12.18,87,100,0.74,PT,1707176100
108,kerns,46.9009,8.2765,1.84,100,100,1.03,CH,1707176100
109,kilindoni,-7.9139,39.6668,28.12,77,52,5.92,TZ,1707176100
